en,ja,category,tier
Health Minister,保健大臣,役職,tier2
House Speaker,下院議長,役職・肩書,tier2
Ideologies,思想,事典カテゴリ,tier2
Important Events,重要事件,事典カテゴリ,tier2
Independent,無所属,役職・肩書,tier2
Independent MP,無所属議員,役職・肩書,tier2
Independent MP and LUS Leader,無所属議員・ソードランド労働組合委員長,役職・肩書,tier2
Inter-Governmental,国際機関,事典カテゴリ,tier2
Interior Minister,内務大臣,役職,tier2
Journalist,記者,役職・肩書,tier2
Justice,判事,役職・肩書,tier2
Justice & Minister of Justice,判事・法務大臣,役職・肩書,tier2
Justice Minister,法務大臣,役職,tier2
Justice of the Supreme Court,最高裁判事,役職,tier2
Landmarks,名所,事典カテゴリ,tier2
Leader of NFP,国民戦線党党首,役職・肩書,tier2
Leader of PFJP,人民自由正義党党首,役職・肩書,tier2
Leader of the Communist Party,共産党書記長,役職・肩書,tier2
Leader of the NFP,国民戦線党党首,役職・肩書,tier2
Leader of the PFJP,人民自由正義党党首,役職・肩書,tier2
Leader of the RNC,リジア国民連合党首,役職・肩書,tier2
Leader of the RPP,リジア人民党党首,役職・肩書,tier2
Leader of the USP Moderate Wing,統一ソードランド党穏健派の領袖,役職・肩書,tier2
Leader of the USP Reformist Wing,統一ソードランド党改革派の領袖,役職・肩書,tier2
Leader of the WPB,ブルディア労働者党党首,役職・肩書,tier2
Lotherberg Spokesman,ロザーバーグ・グループ報道官,役職・肩書,tier2
Mayor of Anrica,アンリカ市長,役職・肩書,tier2
Member of the RPP,リジア人民党議員,役職・肩書,tier2
Minister of Defense,国防大臣,役職・肩書,tier2
Minister of Development,開発大臣,役職・肩書,tier2
Minister of Economy,経済大臣,役職・肩書,tier2
Minister of Education,教育大臣,役職・肩書,tier2
Minister of Foreign Affairs and Trade,外務通商大臣,役職・肩書,tier2
Minister of Health,保健大臣,役職・肩書,tier2
Minister of Interior,内務大臣,役職・肩書,tier2
Minister of Justice,法務大臣,役職・肩書,tier2
Minister of Rural Development,農村開発大臣,役職・肩書,tier2
Minister of the Interior,内務大臣,役職・肩書,tier2
Misc History,その他の歴史,事典カテゴリ,tier2
Misc Organisations,その他の組織,事典カテゴリ,tier2
Moderator,司会者,役職・肩書,tier2
Narrator,ナレーター,役職・肩書,tier2
Opposition Leader,野党党首,役職・肩書,tier2
Others,その他,事典カテゴリ,tier2
PM of Agnolia,アグノリア首相,役職・肩書,tier2
Party Leaders,党首,事典カテゴリ,tier2
Poet and MP,詩人・議員,役職・肩書,tier2
Policeman,警官,役職・肩書,tier2
Political,政治,事典カテゴリ,tier2
Political Parties,政党,事典カテゴリ,tier2
President,大統領,役職,tier2
President of Arcasia,アルカシア大統領,役職・肩書,tier2
President of Sordland,ソードランド大統領,役職・肩書,tier2
President of Wehlen,ヴェーレン大統領,役職・肩書,tier2
President of the Alliance of Nations,諸国連盟議長,役職・肩書,tier2
Prime Minister of Lespia,レスピア首相,役職・肩書,tier2
Prime Minister of Morella,モレラ首相,役職・肩書,tier2
Principal,校長,役職・肩書,tier2
Queen of Rumburg,ルンブルク女王,役職・肩書,tier2
RPP Politician,リジア人民党政治家,役職・肩書,tier2
Reformist,改革派,役職・肩書,tier2
Regions,地方,事典カテゴリ,tier2
Religion,宗教,事典カテゴリ,tier2
Reporter,記者,役職・肩書,tier2
Royal Dog,王室の犬,役職・肩書,tier2
SBC Reporter,SBC記者,役職・肩書,tier2
Second Lady,副大統領夫人,役職・肩書,tier2
"Second-in-Command, Rizian Armed Forces",リジア軍副司令官,役職・肩書,tier2
Security Officer,警備員,役職・肩書,tier2
Service Staff,給仕係,役職・肩書,tier2
Sitting Duke of Valenqiris,ヴァレンキリス現公爵,役職・肩書,tier2
Son of the President,大統領令息,役職・肩書,tier2
Sordish Minister of Foreign Affairs,ソードランド外務大臣,役職・肩書,tier2
Speaker of GNA and Whip,大国民議会議長兼院内幹事,役職・肩書,tier2
Speaker of the House of Delegates,代議院議長,役職・肩書,tier2
Spokesman of the Independents,無所属会派報道官,役職・肩書,tier2
State Figures,政府要人,事典カテゴリ,tier2
Student,学生,役職・肩書,tier2
Supreme Wiseman of Derdia,デルディア最高賢者,役職・肩書,tier2
The Moderator,司会者,役職・肩書,tier2
Timeline,年表,事典カテゴリ,tier2
Treasury and Economy Councilor,財務経済評議官,役職,tier2
USP MP and Whip,統一ソードランド党議員・院内幹事,役職・肩書,tier2
USP Member of Assembly,統一ソードランド党議員,役職・肩書,tier2
Vice President of Sordland,ソードランド副大統領,役職・肩書,tier2
Waiter,給仕,役職・肩書,tier2
War and Security Councilor,軍事保安評議官,役職,tier2
-,-,訳さない / do not translate,do_not_translate
ACP,ACP,訳さない / do not translate,do_not_translate
HOS,HOS,訳さない / do not translate,do_not_translate
KA-74,KA-74,訳さない / do not translate,do_not_translate
NFP,NFP,訳さない / do not translate,do_not_translate
PFJP,PFJP,訳さない / do not translate,do_not_translate
Player,Player,訳さない / do not translate,do_not_translate
Player_Italic,Player_Italic,訳さない / do not translate,do_not_translate
Player_Romus,Player_Romus,訳さない / do not translate,do_not_translate
Player_Romus_Italic,Player_Romus_Italic,訳さない / do not translate,do_not_translate
RNC,RNC,訳さない / do not translate,do_not_translate
RPP,RPP,訳さない / do not translate,do_not_translate
SBC,SBC,訳さない / do not translate,do_not_translate
SSC,SSC,訳さない / do not translate,do_not_translate
USP,USP,訳さない / do not translate,do_not_translate
WPB,WPB,訳さない / do not translate,do_not_translate
